gc,length,umap_1,umap_2
40.871074640997314,12674,-1.1535404,5.82053
45.75070821529745,5648,-1.8226161,6.1209407
44.539530501688,50948,-1.6637866,7.1971655
40.538083012409075,18696,-1.2843963,6.7427363
42.58758913938964,67731,-1.587164,5.9928703
37.35632183908046,13572,0.6171494,7.151412
37.7223055496036,9334,-1.0279279,7.454238
44.016506189821186,13086,0.48443735,7.496771
45.683301747736365,9498,-0.17695433,7.8644657
42.50534051098009,58515,0.37883723,7.7438564
40.56429887990926,63477,0.20124024,7.6247725
42.184714132889575,8413,-0.93345886,7.454078
43.880711695920475,41647,-0.7088888,6.8876
36.16504854368932,1236,0.428534,7.579568
41.13507860827026,56419,-1.0610477,6.7854757
45.59620596205962,1476,0.044761386,7.9353523
40.43138549576318,27261,-0.99240386,7.0944877
33.26226012793177,1407,-0.4311721,7.3393636
43.40325843893089,18782,-1.3205972,6.5574503
39.274193548387096,1240,-1.1631122,6.6054406
45.8249832999332,7485,-0.029625764,6.8261685
40.96179881099535,16989,-1.0915301,6.120321
40.04796163069545,1251,-0.5382729,5.8256903
40.30534351145038,3275,-0.7954779,6.513923
35.95166163141994,1655,-0.64938796,6.875624
44.84304932735426,1115,-0.4207748,5.677603
41.00013861935126,28856,-0.7426298,6.543615
36.71383647798742,1272,-0.9007617,6.3812904
44.515306122448976,10192,0.056123942,5.8078065
43.95866454689984,1258,-1.0753087,6.0198174
47.77870913663035,1193,-0.4419031,6.014244
40.44989775051125,2445,0.4966207,6.9517283
46.13270514330585,2547,-0.96538264,6.1011477
47.31481481481482,1080,-0.85165405,6.3570232
42.731662992814954,59429,-0.3650674,6.7289367
49.31693989071038,2928,-0.8218936,6.173762
43.96362284052876,29579,0.30849957,6.316362
42.88135593220339,1180,-0.3153965,6.4905176
39.075067024128685,2984,0.25944573,6.5095334
38.93773551049704,5573,0.5756777,7.095089
39.60897900072411,1381,-0.34330457,6.561611
41.420664206642066,1084,0.030312238,6.178757
38.996929375639716,1954,0.032268815,6.196801
43.65024288688411,1441,-0.5441573,6.2334795
42.52037252619325,3436,-0.3890182,6.1866255
38.645980253878705,1418,-0.0025478466,5.9775653
39.15894189464164,4423,-0.4128805,6.433973
36.88436830835118,1868,-0.028855393,6.2492905
39.14324207065056,43793,-0.15023251,6.033116
43.30276801782501,23338,0.19409029,6.3588886
37.89556962025316,1264,-0.25173151,6.235863
39.70070422535211,1136,-0.06028083,6.4469304
45.02043760519356,20795,0.03056654,6.3206573
41.654879773691654,1414,-0.7811086,6.2755213
32.90069423483248,3313,0.19696619,6.224256
44.013350020859406,2397,-0.3551605,6.2518067
46.72830725462305,1406,-0.19166176,6.42051
36.792854104636326,2351,0.38256156,6.845755
40.88995790739627,1663,0.1386018,7.188703
38.05774278215223,1143,-0.14962381,6.265217
44.51549039541977,74756,-0.50763553,6.7305512
39.65827338129496,2224,-0.16245821,6.532477
48.68469126781147,16422,-0.49938124,6.2393928
40.19238812212463,31083,-0.30985302,6.602332
43.02134646962233,1827,-0.62050205,6.682486
40.06410256410256,24960,-0.30181786,6.128359
33.94237526352776,1423,0.352461,7.370129
39.98970663921771,1943,-0.34518775,6.405047
40.81887701966852,33607,-0.40115914,6.658308
40.57902818366437,40378,-0.3547083,6.413604
40.539640239840104,3002,0.50995797,6.547289
38.30508474576271,6490,-0.21866842,6.5779886
43.958076448828606,4866,0.04192048,6.470472
41.23006833712984,3512,-0.43187103,6.1556883
37.833827893175076,5392,-0.26613137,6.62844
42.10996450441277,5625488,-0.19917385,6.3766236
42.14684127022437,5510617,-0.35172185,6.4570875
42.14445982371832,5511747,-0.42201215,6.388192
42.15865054606992,5515594,-0.2582264,6.859505
41.703539088356855,5571237,-0.41387066,6.6046553
41.7001091742805,5575489,0.1913462,6.623458
42.826017302146745,15605,0.25455448,6.6213803
41.07116761654245,13686,0.07454515,6.63738
38.79765949414873,10596,0.0533231,6.81858
42.69005847953216,8037,-0.107650936,7.005761
39.240325574753676,7003,-0.15158927,6.981409
38.16961027587214,6851,-0.20683302,6.5439906
44.70512268618166,4646,0.3601722,7.272645
38.55922419764489,4331,0.23432025,7.230646
35.964635301547204,3167,0.69225174,6.684466
41.709511568123396,3112,0.07054675,7.0014606
44.50926561427591,2914,-0.025614532,7.5754294
42.117416731507745,39841,0.05218224,6.8928905
41.598583100039995,35006,0.35027498,6.5881076
